postition	term
Orin, 	133932
Orin, 	176909
Orin, 	433718
Orin, 	807120
Orin, 	807972
Orin, 	809271
Orin, 	815745
Orin, 	816289
Orin, 	834265
Orin, 	851321
Orin, 	854362
Orin, 	1513781
Orin, 	1917577
Orin, 	2132157
Orin, 	2132525
Orin, 	2136310
Orin, 	2143962
Orin, 	2152434
Orin, 	2216816
Orin, 	2290511
Orin, 	2595097
Orin, 	2605441
Orin, 	2605742
Orin, 	2734141
Orin, 	2816121
Orin, 	2967487
Orin, 	2979781
Orin, 	3106122
Orin, 	3106893
Orin, 	3109350
Avril, 	846634
Avril, 	895346
Avril, 	909992
Avril, 	910418
Avril, 	1148796
Avril, 	1478806
Avril, 	1507281
Avril, 	2150169
Avril, 	2154045
Avril, 	2991148
Avril, 	3014846
Avril, 	3015003
Avril, 	3026327
Avril, 	3040069
Hal, 	7517
Hal, 	13010
Hal, 	23767
Hal, 	74169
Hal, 	74481
Hal, 	76347
Hal, 	109875
Hal, 	276288
Hal, 	288185
Hal, 	309293
Hal, 	341371
Hal, 	539790
Hal, 	598727
Hal, 	614792
Hal, 	618312
Hal, 	890668
Hal, 	910429
Hal, 	910605
Hal, 	910886
Hal, 	910936
Hal, 	950445
Hal, 	954467
Hal, 	959875
Hal, 	965326
Hal, 	979681
Hal, 	1185961
Hal, 	1187943
Hal, 	1204315
Hal, 	1301288
Hal, 	1322968
Hal, 	1477994
Hal, 	1479889
Hal, 	1500006
Hal, 	1508215
Hal, 	1513718
Hal, 	1714099
Hal, 	1840733
Hal, 	1840773
Hal, 	1847157
Hal, 	1887573
Hal, 	1891350
Hal, 	1955200
Hal, 	1962196
Hal, 	2002927
Hal, 	2003489
Hal, 	2035884
Hal, 	2152440
Hal, 	2154767
Hal, 	2202609
Hal, 	2221852
Hal, 	2221871
Hal, 	2221958
Hal, 	2223187
Hal, 	2227901
Hal, 	2253727
Hal, 	2261344
Hal, 	2291564
Hal, 	2305610
Hal, 	2321349
Hal, 	2321676
Hal, 	2329743
Hal, 	2726715
Hal, 	2731013
Hal, 	2893748
Hal, 	2965168
Hal, 	2999950
Hal, 	3016043
Hal, 	3030159
Hal, 	3092451
Hal, 	3112040
Hal, 	3114180
Hal, 	3149323
Hal, 	3161271
Hal, 	3165779
Mario, 	108935
Mario, 	109282
Mario, 	229403
Mario, 	230656
Mario, 	345652
Mario, 	431356
Mario, 	433724
Mario, 	614972
Mario, 	896659
Mario, 	908315
Mario, 	909981
Mario, 	1099978
Mario, 	1100202
Mario, 	1102538
Mario, 	1496091
Mario, 	1646628
Mario, 	2152449
Mario, 	2157242
Mario, 	2190625
Mario, 	2191697
Mario, 	2191934
Mario, 	2192271
Mario, 	2192539
Mario, 	2193064
Mario, 	2193452
Mario, 	2197220
Mario, 	2205140
Mario, 	2210298
Mario, 	2214624
Mario, 	2257133
Mario, 	2734147
Mario, 	2754159
Mario, 	2813376
Mario, 	2923475
Mario, 	2933044
Mario, 	2992211
Mario, 	3077124
Mario, 	3077518
CT, 	2849286
Schtitt,  	218134
Schtitt,  	219057
Schtitt,  	220484
Schtitt,  	223715
Schtitt,  	224676
Schtitt,  	225150
Schtitt,  	225768
Schtitt,  	226722
Schtitt,  	530948
Schtitt,  	880437
Schtitt,  	1301299
Schtitt,  	1916405
Schtitt,  	1962869
Schtitt,  	1963513
Schtitt,  	2730797
Schtitt,  	2766567
Schtitt,  	3024861
Schtitt,  	3200177
Himself, 	486617
Himself, 	720533
Himself, 	812066
Himself, 	1146437
Himself, 	2027994
Himself, 	2137331
Himself, 	2213530
Himself, 	2598637
Himself, 	2755150
Himself, 	2771342
Himself, 	3008741
Himself, 	3010679
Himself, 	3027063
Joelle, 	622056
Joelle, 	638802
Joelle, 	641971
Joelle, 	702790
Joelle, 	702810
Joelle, 	1052152
Joelle, 	1542999
Joelle, 	1545696
Joelle, 	1630888
Joelle, 	1631860
Joelle, 	1793622
Joelle, 	1794833
Joelle, 	2152193
Joelle, 	2157935
Joelle, 	2459402
Joelle, 	2491401
Joelle, 	2497791
Tex Watson 	272124
Tex Watson 	878267
Tex Watson 	886571
Tex Watson 	1312136
Tex Watson 	1503299
Tex Watson 	1649005
Tex Watson 	2946404
Tex Watson 	3016770
Tex Watson 	3042209
Tex Watson 	3198082
Tex Watson 	3202655
Tex Watson 	3205648
Tony Nwangi 	272108
Tony Nwangi 	749719
Tony Nwangi 	1321821
Tony Nwangi 	1841993
Tony Nwangi 	1847114
Tony Nwangi 	1850361
Tony Nwangi 	2904186
Mary Esther Thode 	220522
Mary Esther Thode 	804260
Mary Esther Thode 	879090
Mary Esther Thode 	974351
Mary Esther Thode 	976517
Mary Esther Thode 	1104313
Mary Esther Thode 	1115954
Mary Esther Thode 	1886896
Mary Esther Thode 	2766461
Mary Esther Thode 	2904138
Mary Esther Thode 	3017601
Mary Esther Thode 	3201368
Lyle 	316184
Lyle 	357170
Lyle 	560072
Lyle 	560403
Lyle 	560663
Lyle 	561329
Lyle 	561794
Lyle 	562310
Lyle 	562511
Lyle 	607309
Lyle 	702720
Lyle 	707159
Lyle 	707469
Lyle 	707493
Lyle 	709235
Lyle 	720389
Lyle 	720399
Lyle 	720569
Lyle 	721126
Lyle 	721585
Lyle 	721763
Lyle 	721783
Lyle 	721827
Lyle 	722154
Lyle 	746576
Lyle 	907201
Lyle 	907366
Lyle 	1088446
Lyle 	1088920
Lyle 	1099119
Lyle 	1099791
Lyle 	1100214
Lyle 	1100264
Lyle 	1119827
Lyle 	1119990
Lyle 	1120727
Lyle 	1120749
Lyle 	1121162
Lyle 	1121617
Lyle 	1121883
Lyle 	1122378
Lyle 	1123328
Lyle 	1123580
Lyle 	1123854
Lyle 	1124049
Lyle 	1124728
Lyle 	1126012
Lyle 	1126522
Lyle 	1126834
Lyle 	1126878
Lyle 	1127295
Lyle 	1127315
Lyle 	1130649
Lyle 	1131400
Lyle 	1131726
Lyle 	1132737
Lyle 	1133008
Lyle 	1133209
Lyle 	1133426
Lyle 	1133554
Lyle 	1140295
Lyle 	1141882
Lyle 	1142769
Lyle 	1142934
Lyle 	1142960
Lyle 	1143100
Lyle 	1143275
Lyle 	1143289
Lyle 	1143611
Lyle 	1144820
Lyle 	1153786
Lyle 	1250209
Lyle 	1250302
Lyle 	1250796
Lyle 	1251536
Lyle 	1251714
Lyle 	1253250
Lyle 	1253948
Lyle 	1266022
Lyle 	1310725
Lyle 	1323743
Lyle 	1641625
Lyle 	1645690
Lyle 	1646619
Lyle 	1646709
Lyle 	1648747
Lyle 	1648803
Lyle 	1648922
Lyle 	1658372
Lyle 	1715956
Lyle 	1998648
Lyle 	2020404
Lyle 	2037125
Lyle 	2190322
Lyle 	2190343
Lyle 	2190506
Lyle 	2190774
Lyle 	2191008
Lyle 	2258931
Lyle 	2327701
Lyle 	2327787
Lyle 	2520078
Lyle 	2589980
Lyle 	2590041
Lyle 	2596277
Lyle 	2764005
Lyle 	3062779
Donnie Stott 	337346
Mrs. Clarke 	311707
Mrs. Clarke 	334577
Mrs. Clarke 	544215
Mrs. Clarke 	956543
Mrs. Clarke 	1101864
Mrs. Clarke 	1102026
Mrs. Clarke 	1114847
Mrs. Clarke 	1706859
Mrs. Clarke 	1707544
Mrs. Clarke 	1832940
Mrs. Clarke 	1833892
Mrs. Clarke 	1849543
Mrs. Clarke 	2208801
Mrs. Clarke 	2257058
Mrs. Clarke 	2303985
Mrs. Clarke 	2759558
Mrs. Clarke 	2762180
Mrs. Clarke 	2763563
Mrs. Clarke 	2943207
Mrs. Clarke 	3039154
Mrs. Clarke 	3058678
Mrs. Clarke 	3092330
Brandt 	86492
Brandt 	423230
Brandt 	1122033
Brandt 	2513038
Brandt 	2524195
Brandt 	2525921
Brandt 	2526188
Brandt 	2526897
Brandt 	2528176
Brandt 	2528455
Brandt 	2528484
Brandt 	2528677
Brandt 	2528805
Brandt 	2528856
Brandt 	2528873
Brandt 	2529037
Brandt 	2529290
Brandt 	2529371
Brandt 	2529399
Brandt 	2529584
Brandt 	2529978
Brandt 	2530570
Brandt 	2530595
Brandt 	2530800
Brandt 	2530811
Brandt 	2531009
Brandt 	2531065
Brandt 	2531228
Brandt 	2531405
Brandt 	2531419
Brandt 	2531567
Brandt 	2531702
Brandt 	2531783
Brandt 	2532207
Brandt 	2532240
Brandt 	2532387
Brandt 	2532504
Brandt 	2532872
Brandt 	2533114
Brandt 	2533712
Brandt 	2533902
Brandt 	2628474
Brandt 	2866423
Brandt 	3029763
Kenkle 	86521
Kenkle 	423219
Kenkle 	1122022
Kenkle 	2513027
Kenkle 	2525910
Kenkle 	2526466
Kenkle 	2526694
Kenkle 	2526780
Kenkle 	2526836
Kenkle 	2526916
Kenkle 	2528394
Kenkle 	2528735
Kenkle 	2529360
Kenkle 	2529388
Kenkle 	2529573
Kenkle 	2529952
Kenkle 	2530035
Kenkle 	2530407
Kenkle 	2530430
Kenkle 	2531498
Kenkle 	2532092
Kenkle 	2532117
Kenkle 	2532185
Kenkle 	2532303
Kenkle 	2532421
Kenkle 	2532479
Kenkle 	2532914
Kenkle 	2533239
Kenkle 	2533451
Kenkle 	2534186
Kenkle 	2534225
Kenkle 	2593299
Kenkle 	2628463
Kenkle 	2725691
Kenkle 	2866437
Kenkle 	3029754
Disney R. Leith 	266275
Disney R. Leith 	530434
Disney R. Leith 	3199947
Soma R. 	430141
Soma Ri 	530459
Soma Ri 	2872457
Soma Ri 	2875332
Soma Ri 	2876594
Soma Ri 	2879150
Soma Ri 	2880850
Soma Ri 	2883245
Dr. Dolores Rusk 	1264780
Dr. Dolores Rusk 	1480544
Dr. Dolores Rusk 	1496342
Dr. Dolores Rusk 	1529608
Dr. Dolores Rusk 	1593186
Dr. Dolores Rusk 	1850935
Lateral Alice Moore  	273713
Lateral Alice Moore  	322724
Lateral Alice Moore  	490671
Lateral Alice Moore  	699914
Lateral Alice Moore  	1248718
Lateral Alice Moore  	1250146
Lateral Alice Moore  	1477281
Lateral Alice Moore  	1477831
Lateral Alice Moore  	1483264
Lateral Alice Moore  	1499178
Lateral Alice Moore  	1504184
Lateral Alice Moore  	1527636
Lateral Alice Moore  	1598108
Lateral Alice Moore  	3196381
Pemulis  	106985
Pemulis  	133527
Pemulis  	135644
Pemulis  	166455
Pemulis  	166521
Pemulis  	168444
Pemulis  	182179
Pemulis  	183071
Pemulis  	183654
Pemulis  	264556
Pemulis  	264785
Pemulis  	267544
Pemulis  	268881
Pemulis  	277793
Pemulis  	277967
Pemulis  	283536
Pemulis  	283831
Pemulis  	284001
Pemulis  	286147
Pemulis  	288884
Pemulis  	289597
Pemulis  	307949
Pemulis  	310418
Pemulis  	323239
Pemulis  	325416
Pemulis  	334315
Pemulis  	337685
Pemulis  	343681
Pemulis  	344193
Pemulis  	381465
Pemulis  	421953
Pemulis  	422337
Pemulis  	422907
Pemulis  	423909
Pemulis  	424302
Pemulis  	424758
Pemulis  	426057
Pemulis  	427161
