postition	term
Orin 	24675
Orin 	24934
Orin 	25825
Orin 	27811
Orin 	28356
Orin 	37816
Orin 	86397
Orin 	111841
Orin 	112137
Orin 	112363
Orin 	112774
Orin 	113732
Orin 	114472
Orin 	114777
Orin 	115642
Orin 	115901
Orin 	116919
Orin 	117247
Orin 	117550
Orin 	118211
Orin 	118882
Orin 	119238
Orin 	120012
Orin 	120090
Orin 	121161
Orin 	121383
Orin 	121425
Orin 	122598
Orin 	123178
Orin 	123339
Orin 	123818
Orin 	124172
Orin 	124387
Orin 	124466
Orin 	124643
Orin 	127969
Orin 	128086
Orin 	129999
Orin 	130850
Orin 	133932
Orin 	172920
Orin 	176909
Orin 	178990
Orin 	179714
Orin 	179988
Orin 	180258
Orin 	180526
Orin 	181018
Orin 	181929
Orin 	280701
Orin 	280848
Orin 	306461
Orin 	328500
Orin 	379366
Orin 	379578
Orin 	380195
Orin 	380219
Orin 	380319
Orin 	381178
Orin 	381245
Orin 	433718
Orin 	539387
Orin 	626077
Orin 	633667
Orin 	638162
Orin 	644910
Orin 	645837
Orin 	649856
Orin 	650658
Orin 	650825
Orin 	651492
Orin 	667341
Orin 	678392
Orin 	690112
Orin 	701203
Orin 	704809
Orin 	805379
Orin 	805658
Orin 	806542
Orin 	806855
Orin 	807020
Orin 	807120
Orin 	807243
Orin 	807839
Orin 	807972
Orin 	808571
Orin 	809058
Orin 	809271
Orin 	809733
Orin 	810107
Orin 	810455
Orin 	810710
Orin 	810774
Orin 	811122
Orin 	811166
Orin 	811217
Orin 	811346
Orin 	811760
Orin 	811809
Orin 	811933
Orin 	812136
Orin 	812302
Orin 	813270
Orin 	813765
Orin 	814107
Orin 	814136
Orin 	814338
Orin 	814455
Orin 	815010
Orin 	815273
Orin 	815688
Orin 	815745
Orin 	816289
Orin 	816490
Orin 	822596
Orin 	822707
Orin 	822869
Orin 	823289
Orin 	823352
Orin 	823548
Orin 	824174
Orin 	824651
Orin 	825523
Orin 	825876
Orin 	826061
Orin 	826113
Orin 	826667
Orin 	826792
Orin 	827568
Orin 	828541
Orin 	829504
Orin 	829530
Orin 	829725
Orin 	829922
Orin 	829987
Orin 	830551
Orin 	830787
Orin 	830998
Orin 	831422
Orin 	831495
Orin 	832316
Orin 	833329
Orin 	833718
Orin 	833850
Orin 	834118
Orin 	834265
Orin 	834618
Orin 	834969
Orin 	835066
Orin 	836024
Orin 	836722
Orin 	837951
Orin 	838199
Orin 	838594
Orin 	838632
Orin 	838934
Orin 	839297
Orin 	839574
Orin 	839626
Orin 	840007
Orin 	840078
Orin 	840177
Orin 	840537
Orin 	840624
Orin 	841138
Orin 	841783
Orin 	842967
Orin 	843866
Orin 	844423
Orin 	845397
Orin 	846235
Orin 	846650
Orin 	847127
Orin 	847320
Orin 	847592
Orin 	847646
Orin 	848802
Orin 	849486
Orin 	849600
Orin 	849656
Orin 	850311
Orin 	850618
Orin 	850837
Orin 	851321
Orin 	852045
Orin 	852676
Orin 	853369
Orin 	853843
Orin 	854178
Orin 	854362
Orin 	854935
Orin 	855455
Orin 	855862
Orin 	856438
Orin 	856620
Orin 	856736
Orin 	857029
Orin 	857509
Orin 	887720
Orin 	887957
Orin 	888079
Orin 	898880
Orin 	899470
Orin 	899963
Orin 	902319
Orin 	906136
Orin 	1120156
Orin 	1184191
Orin 	1267440
Orin 	1482942
Orin 	1495798
Orin 	1500542
Orin 	1513781
Orin 	1517734
Orin 	1518005
Orin 	1518503
Orin 	1635765
Orin 	1636041
Orin 	1637943
Orin 	1640032
Orin 	1660282
Orin 	1660529
Orin 	1706910
Orin 	1707117
Orin 	1728289
Orin 	1729403
Orin 	1729476
Orin 	1729847
Orin 	1730231
Orin 	1731342
Orin 	1731692
Orin 	1732163
Orin 	1732253
Orin 	1732586
Orin 	1733029
Orin 	1733532
Orin 	1734069
Orin 	1734266
Orin 	1734485
Orin 	1734820
Orin 	1735670
Orin 	1735874
Orin 	1735904
Orin 	1736196
Orin 	1736417
Orin 	1738036
Orin 	1738410
Orin 	1738708
Orin 	1738992
Orin 	1739049
Orin 	1739254
Orin 	1739362
Orin 	1739580
Orin 	1739684
Orin 	1739806
Orin 	1838623
Orin 	1838721
Orin 	1838903
Orin 	1887540
Orin 	1894106
Orin 	1897772
Orin 	1898498
Orin 	1900663
Orin 	1914017
Orin 	1914030
Orin 	1917577
Orin 	1918549
Orin 	1918930
Orin 	1977739
Orin 	1998470
Orin 	2126977
Orin 	2127863
Orin 	2128050
Orin 	2128115
Orin 	2128251
Orin 	2128561
Orin 	2128874
Orin 	2128955
Orin 	2129146
Orin 	2129437
Orin 	2129747
Orin 	2129986
Orin 	2130005
Orin 	2130126
Orin 	2130156
Orin 	2130387
Orin 	2130824
Orin 	2130839
Orin 	2130967
Orin 	2131257
Orin 	2131389
Orin 	2131777
Orin 	2131932
Orin 	2132151
Orin 	2132157
Orin 	2132525
Orin 	2132569
Orin 	2132923
Orin 	2133432
Orin 	2134816
Orin 	2135114
Orin 	2135229
Orin 	2135375
Orin 	2135435
Orin 	2135954
Orin 	2136310
Orin 	2136956
Orin 	2137269
Orin 	2137418
Orin 	2137521
Orin 	2137804
Orin 	2138472
Orin 	2140715
Orin 	2140874
Orin 	2142560
Orin 	2143241
Orin 	2143962
Orin 	2147022
Orin 	2147241
Orin 	2147534
Orin 	2147640
Orin 	2148019
Orin 	2148727
Orin 	2148766
Orin 	2149028
Orin 	2149420
Orin 	2149440
Orin 	2149553
Orin 	2150121
Orin 	2151092
Orin 	2151556
Orin 	2152127
Orin 	2152217
Orin 	2152434
Orin 	2153476
Orin 	2153950
Orin 	2155683
Orin 	2156082
Orin 	2156880
Orin 	2156982
Orin 	2158569
Orin 	2158954
Orin 	2159065
Orin 	2159296
Orin 	2159703
Orin 	2159855
Orin 	2160439
Orin 	2160873
Orin 	2161078
Orin 	2202565
Orin 	2213133
Orin 	2213710
Orin 	2216816
Orin 	2224033
Orin 	2224179
Orin 	2224239
Orin 	2224480
Orin 	2225074
Orin 	2225225
Orin 	2225367
Orin 	2225789
Orin 	2229786
Orin 	2257428
Orin 	2257568
Orin 	2290511
Orin 	2314526
Orin 	2589520
Orin 	2595097
Orin 	2599795
Orin 	2600263
Orin 	2605441
Orin 	2605742
Orin 	2605955
Orin 	2606102
Orin 	2606251
Orin 	2734141
Orin 	2747222
Orin 	2748000
Orin 	2748115
Orin 	2752020
Orin 	2752084
Orin 	2755867
Orin 	2759510
Orin 	2759786
Orin 	2760784
Orin 	2761239
Orin 	2761321
Orin 	2761413
Orin 	2761893
Orin 	2765323
Orin 	2765511
Orin 	2765982
Orin 	2766608
Orin 	2766740
Orin 	2766755
Orin 	2766883
Orin 	2767158
Orin 	2767366
Orin 	2767430
