postition	term
4134	Orin
4182	Orin
4343	Orin
4780	Orin
6358	Orin
14969	Orin
19242	Orin
19289	Orin
19333	Orin
19407	Orin
19587	Orin
19713	Orin
19774	Orin
19927	Orin
19973	Orin
20164	Orin
20221	Orin
20278	Orin
20389	Orin
20511	Orin
20569	Orin
20703	Orin
20895	Orin
20933	Orin
20941	Orin
21144	Orin
21276	Orin
21358	Orin
21416	Orin
21459	Orin
21473	Orin
21502	Orin
22036	Orin
22351	Orin
22493	Orin
23009	Orin
29445	Orin
30027	Orin
30334	Orin
30457	Orin
30509	Orin
30687	Orin
30838	Orin
47413	Orin
47431	Orin
51746	Orin
65011	Orin
65016	Orin
65036	Orin
65200	Orin
65213	Orin
73364	Orin
91882	Orin
106382	Orin
107685	Orin
108452	Orin
109560	Orin
109705	Orin
110396	Orin
110522	Orin
110554	Orin
110657	Orin
113300	Orin
115255	Orin
117192	Orin
119632	Orin
137036	Orin
137080	Orin
137324	Orin
137342	Orin
137363	Orin
137482	Orin
137587	Orin
137674	Orin
137704	Orin
137781	Orin
137841	Orin
137899	Orin
137944	Orin
137954	Orin
138017	Orin
138030	Orin
138053	Orin
138123	Orin
138131	Orin
138156	Orin
138190	Orin
138221	Orin
138381	Orin
138462	Orin
138567	Orin
138585	Orin
138717	Orin
138794	Orin
138806	Orin
138900	Orin
138924	Orin
139900	Orin
139930	Orin
140006	Orin
140018	Orin
140049	Orin
140158	Orin
140234	Orin
140385	Orin
140439	Orin
140483	Orin
140570	Orin
140886	Orin
141026	Orin
141061	Orin
141358	Orin
141488	Orin
141658	Orin
141729	Orin
141751	Orin
141800	Orin
141828	Orin
141890	Orin
141949	Orin
141966	Orin
142121	Orin
142433	Orin
142535	Orin
142541	Orin
142588	Orin
142650	Orin
142701	Orin
142768	Orin
142778	Orin
142850	Orin
142937	Orin
143049	Orin
143383	Orin
143475	Orin
143648	Orin
143790	Orin
143859	Orin
143941	Orin
143979	Orin
144025	Orin
144034	Orin
144339	Orin
144355	Orin
144364	Orin
144477	Orin
144523	Orin
144641	Orin
144757	Orin
144867	Orin
144987	Orin
145069	Orin
145127	Orin
145163	Orin
145263	Orin
145355	Orin
145556	Orin
145624	Orin
152523	Orin
152626	Orin
152713	Orin
153098	Orin
153703	Orin
199877	Orin
213362	Orin
250191	Orin
252325	Orin
253095	Orin
255391	Orin
256093	Orin
256143	Orin
256228	Orin
276506	Orin
276551	Orin
276878	Orin
277261	Orin
280582	Orin
280622	Orin
288553	Orin
292321	Orin
292510	Orin
292521	Orin
292585	Orin
292657	Orin
292869	Orin
292933	Orin
293026	Orin
293083	Orin
293324	Orin
293360	Orin
293391	Orin
293446	Orin
293674	Orin
293709	Orin
293975	Orin
294088	Orin
294136	Orin
294146	Orin
294204	Orin
294242	Orin
294260	Orin
311150	Orin
311167	Orin
311205	Orin
319460	Orin
320595	Orin
321213	Orin
324099	Orin
324102	Orin
324752	Orin
324917	Orin
324981	Orin
359882	Orin
360030	Orin
360062	Orin
360075	Orin
360099	Orin
360153	Orin
360205	Orin
360221	Orin
360303	Orin
360356	Orin
360399	Orin
360403	Orin
360422	Orin
360428	Orin
360467	Orin
360547	Orin
360550	Orin
360628	Orin
360650	Orin
360713	Orin
360737	Orin
360772	Orin
360773	Orin
360834	Orin
360840	Orin
360906	Orin
360992	Orin
361237	Orin
361312	Orin
361338	Orin
361348	Orin
361510	Orin
361666	Orin
361691	Orin
361709	Orin
361756	Orin
361875	Orin
362220	Orin
362248	Orin
362543	Orin
362661	Orin
362778	Orin
363244	Orin
363282	Orin
363322	Orin
363342	Orin
363407	Orin
363545	Orin
363553	Orin
363599	Orin
363660	Orin
363682	Orin
364016	Orin
364107	Orin
364158	Orin
364411	Orin
364642	Orin
364682	Orin
364749	Orin
364872	Orin
365349	Orin
365375	Orin
365479	Orin
365553	Orin
365586	Orin
372721	Orin
374556	Orin
374660	Orin
375198	Orin
376502	Orin
376526	Orin
376538	Orin
376588	Orin
376704	Orin
376734	Orin
376763	Orin
376844	Orin
377525	Orin
382541	Orin
388010	Orin
441023	Orin
